** File: unipathway2metacyc.tsv
**
** Synopsis: Mapping UniPathway (UPA, ULS, UER) / MetaCyc (reaction)
**
**
** UniPathway release 2014_11 of 2014/11/26
**
** MetaCyc release 18.5 of Wed Oct 29, 2014
**
** format: UPAID ULSID UERID MetaCyc_ID
**   with UPAID = UniPathway pathway (UPA) identifier
**        ULSID = UniPathway linear sub-pathway (ULS) identifier
**        UERID = UniPathway enzymatic-reaction (UER) identifier
**        MetaCyc_ID = MetaCyc reaction identifier
**        
**   separator: tab
**
UPA00726	ULS00359	UER00729	1.3.1.64-RXN
UPA00726	ULS00359	UER00729	1.3.1.64-RXN
UPA00726	ULS00359	UER00730	45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
UPA00726	ULS00359	UER00730	45-DIHYDROXYPHTHALATE-DECARBOXYLASE-RXN
UPA00714	ULS00395	UER00792	HCAMULTI-RXN
UPA00714	ULS00395	UER00792	HCAMULTI-RXN
UPA00714	ULS00395	UER00793	PHENPRODIOLDEHYDROG-RXN
UPA00714	ULS00395	UER00793	PHENPRODIOLDEHYDROG-RXN
UPA00157	ULS00102	UER00264	PROTOCATECHUATE-34-DIOXYGENASE-RXN
UPA00157	ULS00131	UER00308	CARBOXY-CISCIS-MUCONATE-CYCLASE-RXN
UPA00088	ULS00072	UER00176	RXN-7967
UPA00088	ULS00073	UER00177	1.1.99.25-RXN
UPA00357	ULS00017	UER00473	DARAB5PISOM-RXN
UPA00357	ULS00017	UER00473	DARAB5PISOM-RXN
UPA00357	ULS00017	UER00474	KDO-8PSYNTH-RXN
UPA00357	ULS00017	UER00474	KDO-8PSYNTH-RXN
UPA00357	ULS00017	UER00475	KDO-8PPHOSPHAT-RXN
UPA00357	ULS00017	UER00475	KDO-8PPHOSPHAT-RXN
UPA00839	ULS00403	UER00804	GLYCERATE-DEHYDROGENASE-RXN
UPA00839	ULS00403	UER00804	RXN0-300
UPA00839	ULS00403	UER00804	HYDROXYPYRUVATE-REDUCTASE-RXN
UPA00363	ULS00426	UER00859	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN
UPA00363	ULS00426	UER00859	2KETO-4METHYL-PENTANOATE-DEHYDROG-RXN
UPA00273	ULS00186	UER00393	TOLUENE-DIOXYGENASE-RXN
UPA00273	ULS00186	UER00394	TOLUENE-DIOL-DEHYDROGENASE-RXN
UPA00157	ULS00103	UER00269	RXN-9922
UPA00157	ULS00103	UER00269	RXN-9922
UPA00157	ULS00103	UER00278	MALEYLACETATE-REDUCTASE-RXN
UPA00157	ULS00103	UER00278	MALEYLACETATE-REDUCTASE-RXN
UPA00157	ULS00100	UER00261	3-OXOADIPATE-ENOL-LACTONASE-RXN
UPA00951	ULS00452	UER00914	GLYOHMETRANS-RXN
UPA00951	ULS00452	UER00914	GLYOHMETRANS-RXN
UPA00951	ULS00452	UER00915	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN
UPA00951	ULS00452	UER00915	SERINE--PYRUVATE-AMINOTRANSFERASE-RXN
UPA00951	ULS00452	UER00916	GLYCERATE-DEHYDROGENASE-RXN
UPA00951	ULS00452	UER00916	GLYCERATE-DEHYDROGENASE-RXN
UPA00951	ULS00452	UER00917	GLY3KIN-RXN
UPA00951	ULS00452	UER00917	GLY3KIN-RXN
UPA00864	ULS00417	UER00830	GLYCOLATEDEHYDRO-RXN
UPA00864	ULS00417	UER00830	GLYCOLATEDEHYDRO-RXN
UPA00864	ULS00417	UER00831	GLYOCARBOLIG-RXN
UPA00864	ULS00417	UER00831	GLYOCARBOLIG-RXN
UPA00864	ULS00417	UER00832	RXN0-5289
UPA00864	ULS00417	UER00832	TSA-REDUCT-RXN
UPA00864	ULS00417	UER00832	TSA-REDUCT-RXN
UPA00864	ULS00417	UER00833	GLY3KIN-RXN
UPA00864	ULS00417	UER00833	GLY3KIN-RXN
